"","text","rating","category","product_name","product_id","sold","shop_id","product_url"
"1","Barang sesuai pesanan dan cepat sampai",5,"pertukangan","Staples Dekorasi Staples Kayu + Refill 8mm - Staples Gun 4-8 mm C Mart",418660637,"1",1740837,"https://www.tokopedia.com/shakaonline87/staples-dekorasi-staples-kayu-refill-8mm-staples-gun-4-8-mm-c-mart"
"2","Barang bagus harga murah",5,"pertukangan","STAPLE GUN ATS 3 WAY TACKER - STAPLES JOK TEMBAK HEKTER 022708",416032545,"11",1477109,"https://www.tokopedia.com/juraganperkakas/staple-gun-ats-3-way-tacker-staples-jok-tembak-hekter-022708"
"3","Paket rapi...mantap....cepat....sampe ke tujuan",5,"pertukangan","STAPLE GUN ATS 3 WAY TACKER - STAPLES JOK TEMBAK HEKTER 022708",416032545,"11",1477109,"https://www.tokopedia.com/juraganperkakas/staple-gun-ats-3-way-tacker-staples-jok-tembak-hekter-022708"
"4","ya saya puas dgn barangnya",5,"pertukangan","ALAT STAPLES TEMBAK &#40;AIR NAILER GUN&#41; OSSEL 1022J",102279869,"5",771395,"https://www.tokopedia.com/kamarmesin/alat-staples-tembak-air-nailer-gun-ossel-1022j"
"5","Responya luar biasa b mantap",5,"pertukangan","Isi Refill Staples Jok Kulit Motor / Staple Gun Max t3-10 mb MAX",190679689,"787",969999,"https://www.tokopedia.com/mitrapersada/isi-refill-staples-jok-kulit-motor-staple-gun-max-t3-10-mb-max"
"6","seller top, pengiriman cepat barang oke",5,"pertukangan","Isi Refill Staples Jok Kulit Motor / Staple Gun Max t3-10 mb MAX",190679689,"787",969999,"https://www.tokopedia.com/mitrapersada/isi-refill-staples-jok-kulit-motor-staple-gun-max-t3-10-mb-max"
"7","pengiriman cepat seller top",5,"pertukangan","Isi Refill Staples Jok Kulit Motor / Staple Gun Max t3-10 mb MAX",190679689,"787",969999,"https://www.tokopedia.com/mitrapersada/isi-refill-staples-jok-kulit-motor-staple-gun-max-t3-10-mb-max"
"8","Produk sesuai dengan spec di web dan respon seller sangat cepat. Thankyou.",5,"pertukangan","Isi Refill Staples Jok Kulit Motor / Staple Gun Max t3-10 mb MAX",190679689,"787",969999,"https://www.tokopedia.com/mitrapersada/isi-refill-staples-jok-kulit-motor-staple-gun-max-t3-10-mb-max"
"10","Respon super cepat, pengiriman cepat, Barang bagus sesuai deskripsi penjual..thx gan",5,"pertukangan","refill staples gun tacker manual isi paku tembak model bread nail 14mm",316217334,"82",231740,"https://www.tokopedia.com/rumahbajukita/refill-staples-gun-tacker-manual-isi-paku-tembak-model-bread-nail-14mm"
"11","Barang mantap, pelayanan cepat",5,"pertukangan","refill staples gun tacker manual isi paku tembak model bread nail 14mm",316217334,"82",231740,"https://www.tokopedia.com/rumahbajukita/refill-staples-gun-tacker-manual-isi-paku-tembak-model-bread-nail-14mm"
"12","Sippp,sesuai pic,dscrbs..cuma blum dicoba😁",5,"pertukangan","refill staples gun tacker manual isi paku tembak model bread nail 14mm",316217334,"82",231740,"https://www.tokopedia.com/rumahbajukita/refill-staples-gun-tacker-manual-isi-paku-tembak-model-bread-nail-14mm"
"13","Sayang produk yg datang di paking kurang rapi sehingga kebuka n isinya terhambur.  Saran klo mengirimkan isi paku tembak seperti ini di beri lakban dulu dikemasan pakunya baru di gabung kan dgn yg lain supaya tidak tercecer. Untuk kualitas barang seperinya bagus walau saya belum coba.  Terima kasih",3,"pertukangan","refill staples gun tacker manual isi paku tembak model bread nail 14mm",316217334,"82",231740,"https://www.tokopedia.com/rumahbajukita/refill-staples-gun-tacker-manual-isi-paku-tembak-model-bread-nail-14mm"
"14","Barang sesuai deskripsi..respon dan proses cepat. Terima kasih",5,"pertukangan","refill staples gun tacker manual isi paku tembak model bread nail 14mm",316217334,"82",231740,"https://www.tokopedia.com/rumahbajukita/refill-staples-gun-tacker-manual-isi-paku-tembak-model-bread-nail-14mm"
"15","Mantaaaaaaaappp..........",5,"pertukangan","refill staples gun tacker manual isi paku tembak model bread nail 14mm",316217334,"82",231740,"https://www.tokopedia.com/rumahbajukita/refill-staples-gun-tacker-manual-isi-paku-tembak-model-bread-nail-14mm"
"16","superrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrr",5,"pertukangan","refill staples gun tacker manual isi paku tembak model bread nail 14mm",316217334,"82",231740,"https://www.tokopedia.com/rumahbajukita/refill-staples-gun-tacker-manual-isi-paku-tembak-model-bread-nail-14mm"
"17","josss pokok e bisa buat langganan",5,"pertukangan","refill staples gun tacker manual isi paku tembak model bread nail 14mm",316217334,"82",231740,"https://www.tokopedia.com/rumahbajukita/refill-staples-gun-tacker-manual-isi-paku-tembak-model-bread-nail-14mm"
"18","berfungsi dengan baik, normal",5,"pertukangan","refill staples gun tacker manual isi paku tembak model bread nail 14mm",316217334,"82",231740,"https://www.tokopedia.com/rumahbajukita/refill-staples-gun-tacker-manual-isi-paku-tembak-model-bread-nail-14mm"
"19","Cara Memberikan Nilai Reputasi ke Penjual

Untuk dapat memberikan nilai reputasi ke penjual, Anda dapat melakukan langkah-langkah berikut ini:",5,"pertukangan","refill staples gun tacker manual isi paku tembak model bread nail 14mm",316217334,"82",231740,"https://www.tokopedia.com/rumahbajukita/refill-staples-gun-tacker-manual-isi-paku-tembak-model-bread-nail-14mm"
"20","Barang sesuai dengan deskripsi. Pengiriman cepat gak pake lama. Barang bagus. Mantap dahh pokoknya. Thanks gan",5,"pertukangan","refill staples gun tacker manual isi paku tembak model bread nail 14mm",316217334,"82",231740,"https://www.tokopedia.com/rumahbajukita/refill-staples-gun-tacker-manual-isi-paku-tembak-model-bread-nail-14mm"
